1	58 | 1 | 1/2 | 1/2
2	58 | 1 | 3/2 | 1/2
3	57 | 2 | 3/2 | 1/2
4	57 | 2 | 5/2 | 1/2
5	59 | 0 | 1/2 | 1/2
6	56 | 3 | 7/2 | 1/2
7	56 | 3 | 5/2 | 1/2
8	56 | 4 | 7/2 | 1/2
9	56 | 4 | 9/2 | 1/2
10	56 | 5 | 9/2 | 1/2
11	56 | 5 | 11/2 | 1/2
12	56 | 6 | 11/2 | 1/2
13	56 | 6 | 13/2 | 1/2
14	56 | 7 | 13/2 | 1/2
15	56 | 7 | 15/2 | 1/2
16	56 | 8 | 15/2 | 1/2
17	56 | 8 | 17/2 | 1/2
18	56 | 9 | 17/2 | 1/2
19	56 | 9 | 19/2 | 1/2
20	56 | 10 | 19/2 | 1/2
21	56 | 10 | 21/2 | 1/2
22	56 | 11 | 21/2 | 1/2
23	56 | 11 | 23/2 | 1/2
24	56 | 12 | 23/2 | 1/2
25	56 | 12 | 25/2 | 1/2
26	56 | 13 | 25/2 | 1/2
27	56 | 13 | 27/2 | 1/2
28	56 | 14 | 27/2 | 1/2
29	56 | 14 | 29/2 | 1/2
30	56 | 15 | 29/2 | 1/2
31	56 | 15 | 31/2 | 1/2
32	56 | 16 | 31/2 | 1/2
33	56 | 16 | 33/2 | 1/2
34	56 | 17 | 33/2 | 1/2
35	56 | 17 | 35/2 | 1/2
36	56 | 18 | 35/2 | 1/2
37	56 | 18 | 37/2 | 1/2
38	56 | 19 | 37/2 | 1/2
39	56 | 19 | 39/2 | 1/2
40	56 | 20 | 39/2 | 1/2
41	56 | 20 | 41/2 | 1/2
42	56 | 21 | 41/2 | 1/2
43	56 | 21 | 43/2 | 1/2
44	56 | 22 | 43/2 | 1/2
45	56 | 22 | 45/2 | 1/2
46	56 | 23 | 45/2 | 1/2
47	56 | 23 | 47/2 | 1/2
48	56 | 24 | 47/2 | 1/2
49	56 | 24 | 49/2 | 1/2
50	56 | 25 | 49/2 | 1/2
51	56 | 25 | 51/2 | 1/2
52	56 | 26 | 51/2 | 1/2
53	56 | 26 | 53/2 | 1/2
54	56 | 27 | 53/2 | 1/2
55	56 | 27 | 55/2 | 1/2
56	56 | 28 | 55/2 | 1/2
57	56 | 28 | 57/2 | 1/2
58	56 | 29 | 57/2 | 1/2
59	56 | 29 | 59/2 | 1/2
60	56 | 30 | 59/2 | 1/2
61	56 | 30 | 61/2 | 1/2
62	56 | 31 | 61/2 | 1/2
63	56 | 31 | 63/2 | 1/2
64	56 | 32 | 63/2 | 1/2
65	56 | 32 | 65/2 | 1/2
66	56 | 33 | 65/2 | 1/2
67	56 | 33 | 67/2 | 1/2
68	56 | 34 | 67/2 | 1/2
69	56 | 34 | 69/2 | 1/2
70	56 | 35 | 69/2 | 1/2
71	56 | 35 | 71/2 | 1/2
72	56 | 36 | 71/2 | 1/2
73	56 | 36 | 73/2 | 1/2
74	56 | 37 | 73/2 | 1/2
75	56 | 37 | 75/2 | 1/2
76	56 | 38 | 75/2 | 1/2
77	56 | 38 | 77/2 | 1/2
78	56 | 39 | 77/2 | 1/2
79	56 | 39 | 79/2 | 1/2
80	56 | 40 | 79/2 | 1/2
81	56 | 40 | 81/2 | 1/2
82	56 | 41 | 81/2 | 1/2
83	56 | 41 | 83/2 | 1/2
84	56 | 42 | 83/2 | 1/2
85	56 | 42 | 85/2 | 1/2
86	56 | 43 | 85/2 | 1/2
87	56 | 43 | 87/2 | 1/2
88	56 | 44 | 87/2 | 1/2
89	56 | 44 | 89/2 | 1/2
90	56 | 45 | 89/2 | 1/2
91	56 | 45 | 91/2 | 1/2
92	56 | 46 | 91/2 | 1/2
93	56 | 46 | 93/2 | 1/2
94	56 | 47 | 93/2 | 1/2
95	56 | 47 | 95/2 | 1/2
96	56 | 48 | 95/2 | 1/2
97	56 | 48 | 97/2 | 1/2
98	56 | 49 | 97/2 | 1/2
99	56 | 49 | 99/2 | 1/2
100	56 | 50 | 99/2 | 1/2
101	56 | 50 | 101/2 | 1/2
102	56 | 51 | 101/2 | 1/2
103	56 | 51 | 103/2 | 1/2
104	56 | 52 | 103/2 | 1/2
105	56 | 52 | 105/2 | 1/2
106	56 | 53 | 105/2 | 1/2
107	56 | 53 | 107/2 | 1/2
108	56 | 54 | 107/2 | 1/2
109	56 | 54 | 109/2 | 1/2
110	56 | 55 | 109/2 | 1/2
111	56 | 55 | 111/2 | 1/2
112	59 | 1 | 1/2 | 1/2
113	59 | 1 | 3/2 | 1/2


114	58 | 2 | 3/2 | 1/2
115	58 | 2 | 5/2 | 1/2


116	60 | 0 | 1/2 | 1/2
117	57 | 3 | 7/2 | 1/2
118	57 | 3 | 5/2 | 1/2
119	57 | 4 | 7/2 | 1/2
120	57 | 4 | 9/2 | 1/2
121	57 | 5 | 9/2 | 1/2
122	57 | 5 | 11/2 | 1/2
123	57 | 6 | 11/2 | 1/2
124	57 | 6 | 13/2 | 1/2
125	57 | 7 | 13/2 | 1/2
126	57 | 7 | 15/2 | 1/2
127	57 | 8 | 15/2 | 1/2
128	57 | 8 | 17/2 | 1/2
129	57 | 9 | 17/2 | 1/2
130	57 | 9 | 19/2 | 1/2
131	57 | 10 | 19/2 | 1/2
132	57 | 10 | 21/2 | 1/2
133	57 | 11 | 21/2 | 1/2
134	57 | 11 | 23/2 | 1/2
135	57 | 12 | 23/2 | 1/2
136	57 | 12 | 25/2 | 1/2
137	57 | 13 | 25/2 | 1/2
138	57 | 13 | 27/2 | 1/2
139	57 | 14 | 27/2 | 1/2
140	57 | 14 | 29/2 | 1/2
141	57 | 15 | 29/2 | 1/2
142	57 | 15 | 31/2 | 1/2
143	57 | 16 | 31/2 | 1/2
144	57 | 16 | 33/2 | 1/2
145	57 | 17 | 33/2 | 1/2
146	57 | 17 | 35/2 | 1/2
147	57 | 18 | 35/2 | 1/2
148	57 | 18 | 37/2 | 1/2
149	57 | 19 | 37/2 | 1/2
150	57 | 19 | 39/2 | 1/2
151	57 | 20 | 39/2 | 1/2
152	57 | 20 | 41/2 | 1/2
153	57 | 21 | 41/2 | 1/2
154	57 | 21 | 43/2 | 1/2
155	57 | 22 | 43/2 | 1/2
156	57 | 22 | 45/2 | 1/2
157	57 | 23 | 45/2 | 1/2
158	57 | 23 | 47/2 | 1/2
159	57 | 24 | 47/2 | 1/2
160	57 | 24 | 49/2 | 1/2
161	57 | 25 | 49/2 | 1/2
162	57 | 25 | 51/2 | 1/2
163	57 | 26 | 51/2 | 1/2
164	57 | 26 | 53/2 | 1/2
165	57 | 27 | 53/2 | 1/2
166	57 | 27 | 55/2 | 1/2
167	57 | 28 | 55/2 | 1/2
168	57 | 28 | 57/2 | 1/2
169	57 | 29 | 57/2 | 1/2
170	57 | 29 | 59/2 | 1/2
171	57 | 30 | 59/2 | 1/2
172	57 | 30 | 61/2 | 1/2
173	57 | 31 | 61/2 | 1/2
174	57 | 31 | 63/2 | 1/2
175	57 | 32 | 63/2 | 1/2
176	57 | 32 | 65/2 | 1/2
177	57 | 33 | 65/2 | 1/2
178	57 | 33 | 67/2 | 1/2
179	57 | 34 | 67/2 | 1/2
180	57 | 34 | 69/2 | 1/2
181	57 | 35 | 69/2 | 1/2
182	57 | 35 | 71/2 | 1/2
183	57 | 36 | 71/2 | 1/2
184	57 | 36 | 73/2 | 1/2
185	57 | 37 | 73/2 | 1/2
186	57 | 37 | 75/2 | 1/2
187	57 | 38 | 75/2 | 1/2
188	57 | 38 | 77/2 | 1/2
189	57 | 39 | 77/2 | 1/2
190	57 | 39 | 79/2 | 1/2
191	57 | 40 | 79/2 | 1/2
192	57 | 40 | 81/2 | 1/2
